id_equipamento,chuva_acumulada_mm,umidade_solo_pct,inclinacao_graus,peso_maquina_ton,distancia_corpo_agua_m,ocorreu_acidente
COLHEITADEIRA-II,82.55,63.26,4.49,17.51,592.57,0
PULVERIZADOR-I,8.14,27.29,20.25,23.68,379.92,0
COLHEITADEIRA-I,36.12,46.46,24.27,12.2,501.94,0
PULVERIZADOR-I,84.98,73.12,24.52,19.69,605.07,0
PULVERIZADOR-I,8.08,30.78,26.37,13.49,559.89,0
TRATOR-II,69.86,69.77,30.55,12.35,486.41,1
COLHEITADEIRA-I,41.51,35.2,17.5,20.25,504.93,0
COLHEITADEIRA-I,74.51,68.63,25.56,18.91,176.41,1
COLHEITADEIRA-I,5.49,42.2,21.67,21.32,812.73,0
PULVERIZADOR-I,104.58,88.32,6.53,14.64,541.76,0
COLHEITADEIRA-II,116.82,100.0,0.9,16.72,131.08,1
COLHEITADEIRA-I,116.27,89.12,9.96,16.08,766.16,0
PULVERIZADOR-I,89.96,87.19,15.51,24.76,932.44,0
TRATOR-II,15.61,42.55,21.6,14.38,947.31,0
COLHEITADEIRA-II,90.99,80.23,29.75,14.42,369.02,1
TRATOR-II,2.95,41.05,6.87,15.32,135.52,0
COLHEITADEIRA-II,2.65,15.36,4.39,18.47,518.4,0
PULVERIZADOR-I,38.83,33.81,33.72,13.78,112.61,1
TRATOR-I,58.64,68.29,3.78,23.73,933.99,0
COLHEITADEIRA-II,92.45,89.68,16.75,13.99,183.58,1
TRATOR-II,82.0,62.8,20.49,23.44,252.77,0
PULVERIZADOR-I,53.51,50.07,18.95,11.55,406.64,0
COLHEITADEIRA-II,32.84,30.23,3.01,19.85,383.16,0
TRATOR-I,119.65,90.59,2.0,23.6,794.66,0
TRATOR-I,51.14,63.88,3.69,12.53,456.32,0
COLHEITADEIRA-I,54.17,58.04,20.5,24.52,170.77,1
COLHEITADEIRA-I,19.63,32.22,19.05,16.79,267.21,0
TRATOR-II,95.38,78.38,8.18,24.19,509.11,0
COLHEITADEIRA-II,83.24,59.99,22.32,20.15,147.45,1
COLHEITADEIRA-II,26.49,34.89,28.7,14.52,611.66,0
COLHEITADEIRA-I,9.89,35.33,1.46,12.82,565.75,0
COLHEITADEIRA-II,81.66,88.22,17.43,14.56,714.7,0
COLHEITADEIRA-II,78.54,82.54,24.13,11.4,937.7,1
TRATOR-I,32.79,30.38,8.83,12.16,912.25,0
COLHEITADEIRA-I,114.1,100.0,10.77,11.57,946.08,0
PULVERIZADOR-I,18.13,44.37,21.48,16.34,244.72,0
COLHEITADEIRA-I,51.88,64.54,31.43,21.93,131.57,1
PULVERIZADOR-I,113.23,91.68,28.35,12.12,302.28,1
TRATOR-I,50.37,52.16,20.41,11.95,895.09,0
TRATOR-II,76.62,65.06,25.56,19.65,972.05,0
